screen_name,Source,tweets,time_stamp
1498645645527515139,Africa,Organic Ginger Root | Dry Ginger Powder | Ginger Root Powder | Dried Ginger Root | Helps Vata &amp; Kapha | Weight Management | Ayurvedic Herb https://t.co/5ejwreVqSF via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnam,2022-11-04 03:49:08+00:00
1498645645527515139,Africa,"yellow mustered, yellow mustered seed, Grounded yellow mustered, Organic spice, Natural spice, Indian spice https://t.co/E1u9bg1DSP via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:48:47+00:00
1498645645527515139,Africa,Organic Ajwain Seeds | Carom Cervi | Bishops Weed | Indian Spice Seed | Ayurvedic Herb | Healthy Spice | Organic Seed | Natural Caraway https://t.co/QwH0qVbmee via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamons,2022-11-04 03:48:33+00:00
1498645645527515139,Africa,"Black mustered, Black mustered seed, Grounded Black mustered, Organic spice, Natural spice, Indian spice https://t.co/nUuWBPj2Yy via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:48:12+00:00
1498645645527515139,Africa,Black Sesame Seeds | Kale Til | Sesamum Indicum | Herbal Seeds | High Fiber Food | Organic Seeds | Healthy seeds | Black Tahini https://t.co/d0bHBCJ9Yi via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks,2022-11-04 03:47:58+00:00
1498645645527515139,Africa,"Cumin, Cumin seed, Grounded Cumin, Organic spice, Healing spice, Indian spice, Natural spice https://t.co/w4IWCMzrwZ via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:47:45+00:00
1498645645527515139,Africa,"Organic Saffron Spice, Saffron Threads, Kesar, Crocus Sativus, Skin Booster, Appetite Management, Ayurvedic Herb, Cooking Spice. https://t.co/GbaDAHe7No via @Etsy #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:47:28+00:00
1498645645527515139,Africa,Organic Nigella Sativa | Black Cumin Seed | Indian Kalonji | Onion Seed | Black Caraway | Antioxidants | Inflammation | Cholesterol https://t.co/tthATHPtej via @Etsy #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks,2022-11-04 03:46:43+00:00
1277154856806035456,Africa,"Intending to expand across #Africa, EGAAD has pumped 12 development projects in 8 African countries, spanning different fields including construction, energy, water treatment, agriculture, mining, logistics, and healthcare, among others. By @sheriftarek.

https://t.co/kOS7o9CTv1",2022-11-04 03:46:34+00:00
727931684751089664,Africa,#AfricaIsChanging #RT Poetry like prose style site:Taught as Dark Continent did #Africa add to #Modern #Civilization https://t.co/ajziOG2xzQ,2022-11-04 03:46:04+00:00
18017198,Africa,"Intending to expand across #Africa, EGAAD has pumped 12 development projects in 8 African countries, spanning different fields including construction, energy, water treatment, agriculture, mining, logistics, and healthcare, among others. By @sheriftarek.

https://t.co/ylZh4JO4Iq",2022-11-04 03:37:00+00:00
1577992762951188480,Africa,"We are planning, working and executing... 

Watch the space....🚀

#food #Foodie #startup #foodstartup 
#Hunger
#feeding #Africa #nigeria #UnitedNations #UNdevelopmentgoals #mdgs",2022-11-04 03:35:28+00:00
1539205900468211713,Africa,SCAM ALERT IN IVORY COAST - BEN CHIZA MKANDAWIRE #ivorycoast #cotedivoire #abidjan #africa #MyScamstory #civ #abidjanestdoux #Nigeria #assinie #abidjanplaces #malawi https://t.co/FchYT4JQYn,2022-11-04 03:35:06+00:00
2828579059,Africa,"For Kenyan Catholic Bishop, Synodal Process Opens “new horizons of listening, understanding” 
In the October 29 interview, Bishop Obanyi said the continental phase of the Synod will help Catholic Church leaders to ...
https://t.co/eeAODSFymk
#Africa #N... https://t.co/XujOJX0x79",2022-11-04 03:33:22+00:00
1539205900468211713,Africa,SCAM ALERT IN IVORY COAST - BEN CHIZA MKANDAWIRE #ivorycoast #cotedivoire #abidjan #africa #MyScamstory #civ #abidjanestdoux #Nigeria #assinie #abidjanplaces #malawi https://t.co/9CoyOlOxWN,2022-11-04 03:30:10+00:00
3869030112,Africa,"Bridging the #digitaldivide in #Africa will not be possible without adequate people-centred #cybersecurity measures, states @NwanyiTeacher https://t.co/xoWM0keDl0",2022-11-04 03:30:00+00:00
29793488,Africa,"#African green fertiliser produced from green hydrogen can be significantly cheaper than imported grey fertiliser, and better for the environment. @afr_h2_p envisages a corridor to interconnect the evolving #hydrogen ecosystems in East #Africa https://t.co/Xnsag2Xvn8",2022-11-04 03:29:37+00:00
629171125,Africa,"FastBDS From Indonesia - Building the Future of Banking Technologies. It allows banks to make any  systems: Web Teller System, Mobile Banking and Internet Banking #Myname #Washington #Newyork #Vietnam #Italy #England #Africa #Musk #TheFed #PaulChan #Bsumane #Reza #Iowa #Covid https://t.co/zLzziKqks0",2022-11-04 03:29:19+00:00
73800371,Africa,"For Kenyan Catholic Bishop, Synodal Process Opens “new horizons of listening, understanding” 
In the October 29 interview, Bishop Obanyi said the continental phase of the Synod will help Catholic Church leaders to ...
https://t.co/N46dmTyS6m
#Africa #N... https://t.co/4la7d0S4QR",2022-11-04 03:28:29+00:00
2828579059,Africa,"Missionaries Receive Pauline Jaricot Award 

Father Pier Luiggi Maccali and Sister Gloria Cecilia Narvaez, both kidnapped and freed in Mali, received the Blessed P...
https://t.co/Pu9LCM8gsb
#World 
#africa #BlessedPaulineJaricot #Bomoanga #CatholicNews... https://t.co/4gk5gv0Bhp",2022-11-04 03:26:46+00:00
1539205900468211713,Africa,SCAM ALERT IN IVORY COAST - BEN CHIZA MKANDAWIRE #ivorycoast #cotedivoire #abidjan #africa #MyScamstory #civ #abidjanestdoux #Nigeria #assinie #abidjanplaces #malawi https://t.co/TZ8n13cHVR,2022-11-04 03:25:05+00:00
45072905,Africa,"#TikTok , #Twitter , #Google ) #Florida , #NYC , #Africa , #Asia , #UK , #DominicanRepublic , #Cuba Fans ) #PinUpsATL , #FolliesATL , #G5ive , #Miami , #Y100Miami ) https://t.co/EUiB5haAO7",2022-11-04 03:25:04+00:00
1093681439491538944,Africa,Champions music - by Golden Boy (Fospassin) https://t.co/UJVfqSkeBA #champions #ASUUstrike #bajwa_traitor #beats #instrumental #TheRainInEspanaCastReveal #Africa #sportsmusic #wearechampions #Afrobeat #coupedecale,2022-11-04 03:24:47+00:00
